Session,Time,Duration,Room,Speaker,Affiliation,Title
A2-1: Plasma Agriculture,13:15,15,405+406,Sushma Jangra,"Phd Scholar, Indian Institute of Technology Jodhpur",Optimization of Cold Atmospheric Pressure Plasma for Enhanced Nitrogen Species Generation in Soil to Improve Fertility and Wheat Crop Yield
A1-1: Sputtering and bottom up process,13:20,20,402+403,Giichiro Uchida,Meijo Universitry,High-pressure He sputtering for porous-film fabrication for Li-ion-battery anode
A1-1: Sputtering and bottom up process,13:40,20,402+403,Osamu Sakai,The University of Shiga Prefecture,Complex network in low-temperature plasma analyzed by Shannon entropy
A1-1: Sputtering and bottom up process,14:00,20,402+403,Mineo Hiramatsu,Meijo University,Plasma Synthesis of 3-Dimensional Graphene-Based Materials
A2-2: Plasma Agriculture,14:05,20,405+406,Koichi Takaki,Iwate University,Function of high-voltage stimulation on fruiting body formation of Basidiomycota
F-2: Turbulence and transport phenomena I,14:05,20,414,Ksenia Aleynikova,"IPP Max Planck, Greifswald",Stability and transport in high-beta stellarators: the role of kinetic ballooning modes
A1-1: Sputtering and bottom up process,14:20,20,402+403,Masanori Shinohara,Fukuoka University,Direct graphene growth on Si surface with high power pulsed plasma
A2-2: Plasma Agriculture,14:25,20,405+406,Rasa Zukiene,Vytautas Magnus University,"Phytohormone response to cold plasma in seeds, leaves, and flowers"
F-2: Turbulence and transport phenomena I,14:25,15,414,Ningfei Chen,Max-Planck Institute for Plasma Physics,Drift wave soliton formation via zonal flow generation and implication on staircase formation
AK-2: HM/HW equations,14:30,25,410,Zhihong Lin,"University of California, Irvine",Zonal flows: from Hasegawa-Mima equation to gyrokinetic simulation
A1-1: Sputtering and bottom up process,14:40,20,402+403,Karol Hensel,Comenius University,Effect of pellet catalyst properties on gas cleaning process
F-2: Turbulence and transport phenomena I,14:40,15,414,Koki Yoshikawa,"Department of Physics, Nagoya University",Spatial structure of ETG turbulence-driven effective diffusion and its relations with the trapped electron mode instability
A2-2: Plasma Agriculture,14:45,20,405+406,Takamasa Okumura,Kyushu University,Cutting-edge research into induction of plant responses by irradiation of atmospheric pressure plasma
AK-2: HM/HW equations,14:55,25,410,Michio Yamada,Kyoto university,Hasegawa-Mima equations and Rossby waves in Geophysical Fluid Dynamics
F-2: Turbulence and transport phenomena I,14:55,15,414,Masanori Nunami,National Institute for Fusion Science,A comprehensive map of micro-instabilities in multi-species plasmas
A1-1: Sputtering and bottom up process,15:00,15,402+403,Arunsinh Bakulsinh Zala,"NSSE, National Institute of Education, Nanyang Technological",α-Alumina Synthesis at Room Temperature Using a Plasma Focus Device for Fusion Blankets
A2-2: Plasma Agriculture,15:05,20,405+406,Yoko Otsubo,The University of Tokyo,Molecular mechanisms underlying cellular responses to plasma irradiation in fission yeast
F-2: Turbulence and transport phenomena I,15:10,15,414,Aleksandra Dudkovskaia,Tokamak Energy Ltd,Novel approach to gyrokinetic-Maxwell eigenvalue problem
AK-2: HM/HW equations,15:20,25,410,Jan Weiland,Lehigh University,"Nonlinearities in magnetic confinement, ionospheric physics, and population explosion leading to profile resilience"
F-2: Turbulence and transport phenomena I,15:25,15,414,Xiaoyi Yang,Harbin Institute of Technology,Study on the coherent structure of drift wave turbulence by eigenmode method
F-2: Turbulence and transport phenomena I,15:40,15,414,Seiyo Kobayashi,University of Tokyo,2D Thomson scattering measurement of electron temperature and density in merging spherical tokamak plasmas
AK-2: HM/HW equations,15:45,25,410,Katsunobu Nishihara,"Institue of Laser Engineering, the University of Osaka",The dawn of plasma simulation and 60 years of memories with Professor Hasegawa
AK-2: HM/HW equations,16:10,25,410,Akihiro Maruta,The University of Ossaka,Optical Solitons and Eigenvalue Communications
